species,update,duration,duration2,type,type2,c3c4,notes
Brassicaceae,Brassica spp,annual,,forb,,,not sure of duration
Alyssum alyssoides,,annual,biennial,forb,,,
Alyssum desertorum,,annual,,forb,,,
Ambrosia psilostachya,,annual,perennial,forb,,,
Androsace occidentalis,,annual,,forb,,,
Androsace spp,,annual,,forb,,,
Annual forb,,annual,,forb,,,
Arenaria serpyllifolia,,annual,,forb,,,
Buglossoides arvensis,,annual,,forb,,,
Camelina microcarpa,,annual,biennial,forb,,,
Ceratocephala testiculata,,annual,,forb,,,
Collinsia parviflora,,annual,,forb,,,
Collomia linearis,,annual,,forb,,,
Cordylanthus parviflorus,,annual,,forb,,,
Cordylanthus spp,,annual,,forb,,,
Descurainia pinnata,,annual,biennial,forb,,,
Descurainia sophia,,annual,biennial,forb,,,
Draba verna,,annual,,forb,,,
Eriastrum sparsiflorum,,annual,,forb,,,
Eriastrum spp,,annual,,forb,,,
Erodium cicutarium,,annual,biennial,forb,,,
Euphorbia spathulata,,annual,perennial,forb,,,
Hedeoma hispida,,annual,,forb,,,
Helianthus annuus,,annual,,forb,,,
Holosteum umbellatum,,annual,,forb,,,
HOUM,Holosteum umbellatum,annual,,forb,,,
Lactuca serriola,,annual,biennial,forb,,,
Lappula occidentalis,,annual,biennial,forb,,,
Lappula occidentalis var occidentalis,Lappula occidentalis,annual,biennial,forb,,,
Lappula redowskii,,annual,biennial,forb,,,
Lappula spp,,annual,biennial,forb,,,
Linanthus septentrionalis,,annual,,forb,,,
Logfia arvense,Logfia arvensis,annual,,forb,,,
Logfia arvensis,,annual,,forb,,,
Medicago lupulina,,annual,perennial,forb,,,
Medicago sativa,,annual,perennial,forb,,,
Melilotus officinalis,,annual,biennial,forb,,,
Microsteris gracilis,,annual,,forb,,,
Myosotis micrantha,,annual,,forb,,,
Myosotis stricta,,annual,,forb,,,
Orthocarpus tenuifolius,,annual,,forb,,,
Plantago patagonica,,annual,,forb,,,
Polygonum aviculare,,annual,perennial,forb,,,
Polygonum douglasii,,annual,,forb,,,
Sisymbrium altissimum,,annual,biennial,forb,,,
Tragopogon dubius,,annual,biennial,forb,,,
unk ann forb,unknown annual forb,annual,,forb,,,
Veronica peregrina,,annual,,forb,,,
Veronica verna,,annual,,forb,,,
Vicia villosa,,annual,biennial,forb,vine,,
Aegilops cylindrica,,annual,,grass,,,
Annual grass,,annual,,grass,,,
Apera interrupta,,annual,,grass,,,
Bromus arvensis,,annual,,grass,,,
Bromus japonicus,,annual,,grass,,,
Bromus tectorum,,annual,,grass,,,
Hordeum pusillum,,annual,,grass,,,
Taeniatherum caput-medusae,,annual,,grass,,,
Vulpia octoflora,,annual,,grass,,,
Vulpia spp,,annual,,grass,,,
Arabis,Arabis spp,biennial,perennial,forb,,,
Arabis puberula,,biennial,perennial,forb,,,
Arabis sp.,Arabis spp,biennial,perennial,forb,,,
ARPU,Arabis puberula,biennial,perennial,forb,,,
Boechera retrofracta,,biennial,perennial,forb,,,
Centaurea stoebe,,biennial,perennial,forb,,,
Sphaeralcea coccinea,,biennial,perennial,forb,subshrub,,
Eriogonum spp,Eriogonum spp,perennial,,forb,subshrub,,possibly classify as shrub?
CYMOP?,Cymopterus spp,perennial,,forb,,,should doublecheck
Achillea millefolium,,perennial,,forb,,,
AGGL,Agoseris glauca,perennial,,forb,shrub,,
Allium spp,,perennial,,forb,,,
Allium textile,,perennial,,forb,,,
Antenarria spp,Anternnaria spp,perennial,,forb,subshrub,,
Antennaria dimorpha,,perennial,,forb,subshrub,,
Antennaria species,Anternnaria spp,perennial,,forb,subshrub,,
Arnica fulgens,,perennial,,forb,,,
Artemisia dracunculus,,perennial,,forb,subshrub,,
Asclepias pumila,,perennial,,forb,,,
Astragalus americanus,,perennial,,forb,,,
Astragalus filipes,,perennial,,forb,,,
Astragalus inflexus,,perennial,,forb,,,
Astragalus lentiginosus,,perennial,,forb,,,
Astragalus missouriensis,,perennial,,forb,subshrub,,
Astragalus sp.,Astragalus spp,perennial,,forb,,,
Astragulus inflexus,Astragalus inflexus,perennial,,forb,subshrub,,
Balsamorhiza sagitata,Balsamorhiza sagittata,perennial,,forb,,,
Balsamorhiza sagittata,,perennial,,forb,,,
Balsmahoriza sagittata,Balsamorhiza sagittata,perennial,,forb,,,
Brodiaea douglasii,,perennial,,forb,,,
Castilleja angustifolia,,perennial,,forb,subshrub,,
Castilleja thompsonii,,perennial,,forb,,,
Comandra umbellata,,perennial,,forb,subshrub,,
Convolvulus arvensis,,perennial,,forb,vine,,
Convolvulus spp,,perennial,,forb,vine,,
Crepis acuminata,,perennial,,forb,,,
Echinacea angustifolia,,perennial,,forb,,,
Erigeron compositus,,perennial,,forb,,,
Erigeron corymbosus,,perennial,,forb,,,
Erigeron pumilus,,perennial,,forb,subshrub,,
Erigeron speciosus,,perennial,,forb,subshrub,,
Eriogonum heracleoides,,perennial,,forb,subshrub,,
Eriogonum shrub,Eriogonum spp,perennial,,forb,subshrub,,
Euphorbia esula,,perennial,,forb,,,
Gaillardia aristata,,perennial,,forb,,,
Gaillardia pinnatifida,,perennial,,forb,subshrub,,
Geranium spp,,perennial,,forb,,,
Gutierrezia sarothrae,,perennial,,forb,shrub,,
Heterotheca villosa,,perennial,,forb,,,
Lepidium,Lepidium spp,perennial,,forb,,,
Leucocrinum montanum,,perennial,,forb,,,
Lewisia rediviva,,perennial,,forb,,,
Liatrus punctata,Liatris punctata,perennial,,forb,,,
Linanthus pungens,,perennial,,forb,subshrub,,
Linum lewisii,,perennial,,forb,subshrub,,
Linum perenne,,perennial,,forb,subshrub,,
Lithophragma parviflorum,,perennial,,forb,,,
Lithospemum incisum,Lithospermum incisum,perennial,,forb,,,
Lithospermum ruderale,,perennial,,forb,,,
Lomatium foeniculaceum,,perennial,,forb,,,
Lomatium triternatum,,perennial,,forb,,,
Lupinus sericeus,,perennial,,forb,subshrub,,
Oenothera suffrutescens,,perennial,,forb,subshrub,,
Oligoneuron rigidum,,perennial,,forb,,,
Perennial forb,unknown perennial forb,perennial,,forb,,,
Phlox andicola,,perennial,,forb,,,
Phlox hoodii,,perennial,,forb,,,
Phlox longifolia,,perennial,,forb,subshrub,,
Pleiacanthus spinosus,,perennial,,forb,subshrub,,
Psoralidium tenuiflorum,,perennial,,forb,,,
Ratibida columnifera,,perennial,,forb,,,
Solidago missouriensis,,perennial,,forb,,,
Solidago ridiga,Solidago rigida,perennial,,forb,,,
Symphyotrichum ericoides,,perennial,,forb,,,
Symphyotrichum oblongifolium,,perennial,,forb,,,
Taraxacum officinale,,perennial,,forb,,,
Tradescantia bracteata,,perennial,,forb,,,
unk per forb,unknown perennial forb,perennial,,forb,,,
Viola nuttallii,,perennial,,forb,,,
Poa secunda (dead),dead,perennial,,grass,,c3,not sure how dead plant is classified
Achnatherum thurberianum,,perennial,,grass,,c3,
Agropyron cristatum,,perennial,,grass,,c3,
Agropyron smithii,,perennial,,grass,,c3,
Bouteloua curtipendula,,perennial,,grass,,c4,
Bouteloua dactyloides,,perennial,,grass,,c4,
Bouteloua gracilis,,perennial,,grass,,c4,
Carex,Carex spp,perennial,,grass,,c3,
Carex duriuscula,,perennial,,grass,,c3,
Carex filifolia,,perennial,,grass,,c3,
Carex sp.,Carex spp,perennial,,grass,,c3,
Carex spp,,perennial,,grass,,c3,
Elymus elymoides,,perennial,,grass,,c4,
Festuca campestris,,perennial,,grass,,c3,
Festuca idahoensis,,perennial,,grass,,c3,
Hesperostipa comata,,perennial,,grass,,c3,
Koeleria macrantha,,perennial,,grass,,c3,
Koeleria micrantha,Koeleria macrantha,perennial,,grass,,c3,
Nassella viridula,,perennial,,grass,,c3,
Pascopyrum smithii,,perennial,,grass,,c3,
Perennial grass,unknown perennial grass,perennial,,grass,,unknown,
Perennial short grass,unknown perennial grass,perennial,,grass,,unknown,
Perennial tall grass,unknown perennial grass,perennial,,grass,,unknown,
Pleuraphis jamesii,,perennial,,grass,,c4,
Poa bulbosa,,perennial,,grass,,c3,
Poa pratensis,,perennial,,grass,,c3,
Poa sandbergii,,perennial,,grass,,c3,
Poa secunda,,perennial,,grass,,c3,
POPR,Poa pratensis,perennial,,grass,,c3,
Pseudoroegnaria spicata,Pseudoroegneria spicata,perennial,,grass,,c3,
Pseudoroegneria spicata,,perennial,,grass,,c3,
