genotype,site_code,latitude,longitude,study,trait,measured?
1,AAFC04,50.08,-120.65,davidson,d_fv_fm,no
1,AAFC04,50.08,-120.65,davidson,sla_m2_kg,no
1,AAFC04,50.08,-120.65,gamba,seedling_height_cm,yes
1,AAFC04,50.08,-120.65,gamba,adult_height_cm,yes
1,AAFC04,50.08,-120.65,gamba,spring_growth_cm,yes
1,AAFC04,50.08,-120.65,gamba,tillers_n,yes
1,AAFC04,50.08,-120.65,gamba,days_to_flower,yes
1,AAFC04,50.08,-120.65,gamba,inflor_height_cm,yes
1,AAFC04,50.08,-120.65,gamba,inflor_number,yes
1,AAFC04,50.08,-120.65,gamba,veg_biomass_mg,yes
1,AAFC04,50.08,-120.65,gamba,rep_biomass_mg,yes
1,AAFC04,50.08,-120.65,gamba,total_dry_biomass_mg,yes
1,AAFC04,50.08,-120.65,gamba,seed_m,yes
1,AAFC04,50.08,-120.65,gamba,seed_n,yes
1,AAFC04,50.08,-120.65,gamba,seed1m,yes
1,AAFC04,50.08,-120.65,walker,shoot_dry_wt_g,yes
1,AAFC04,50.08,-120.65,walker,shoot_leaf_area_cm2,yes
1,AAFC04,50.08,-120.65,walker,root_dry_wt_g,yes
1,AAFC04,50.08,-120.65,walker,root_length_cm,yes
1,AAFC04,50.08,-120.65,gamba,leaves_n,yes
1,AAFC04,50.08,-120.65,walker,seed_wt_g,yes
1,AAFC04,50.08,-120.65,walker,seed_proj_area_cm2,yes
1,AAFC04,50.08,-120.65,walker,time_to_emergence_d,yes
1,AAFC04,50.08,-120.65,walker,plant_ht_21d_cm,yes
1,AAFC04,50.08,-120.65,walker,plant_ht_35d_cm,yes
1,AAFC04,50.08,-120.65,walker,leaf_no_21d,yes
1,AAFC04,50.08,-120.65,walker,leaf_no_35d,yes
1,AAFC04,50.08,-120.65,walker,tiller_no_35d,yes
1,AAFC04,50.08,-120.65,davidson,phen_score,no
1,AAFC04,50.08,-120.65,davidson,freezing_point,no
