,,,,,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes
date,albedo,density,block,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
3/14/22,white,high,1,1,28,V2,,27,V3,,22,V2,,19,V2,,34,V2,,34,V1,,26,V2,,26,V2,,34,V2,,35,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/22,white,high,1,2,35,V2,,33,V2,,29,V2,,30,V2,,36,V2,,37,V2,,32,V2,,34,V2,,33,V1,,20,V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/22,white,high,1,3,11,V1,,32,V2,,36,V2,,33,V2,,12,V1,,32,V1,,23,V1,,,,,39,V1,,25,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/22,white,high,1,4,28,V1,,30,V1,,36,V2,,31,V2,,42,V3,,33,V1,,26,V1,,35,V2,,25,V2,,33,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/22,white,high,1,5,38,V2,,17,V1,,33,V2,,23,V3,,41,V2,,25,V1,,26,V1,,32,V2,,29,V1,,29,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/22,white,high,1,6,24,V1,,31,V2,,38,V2,,37,V2,,,,,40,V2,,30,V2,,29,V1,,20,V1,,36,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/22,white,high,1,7,22,V1,,35,V2,,33,V2,,32,V2,,37,V2,,33,V2,,32,V2,,25,V1,,34,V1,,32,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/22,white,high,1,8,27,V1,,33,V1,,13,V1,,43,V3+,,38,V3,,28,V3,,40,V2,,27,V1,,36,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/22,white,high,1,9,28,V1,,30,V2,,35,V3+,,37,V2,,36,V2,,33,V2,,33,V2,,36,V2,,28,V1,,33,V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/22,white,high,1,10,36,V2,,32,V2,,32,V2,,39,V2,,30,V2,,31,V2,,15,V1,,29,V2,,39,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/22,black,low,1,1,13,V3,,15,V2,,28,V3+,,7,V3,,6,V2,,20,V3+,,26,V2,,9,V3,,,,,25,V3,,19,V3,,28,V2,,17,V3,,4,V1,,19,V3,,24,V2,,5,V3,,,,,3,V3,,16,V2,
3/15/22,black,low,1,2,12,V3+,,22,V3,,4,V2,,,,,14,V2,,35,V3+,,33,V2,,21,V3,,8,V3,,12,V3+,,3,V3,,20,V3,,28,V3+,,11,V2,,17,V3,,14,V2,,18,V2,,15,V3,,16,V3,,25,V2,
3/15/22,black,low,1,3,9,V2,,14,V2,,21,V3+,,27,V2,,,,,13,V2,,21,V3,,21,V3,,14,V3+,,17,V3,,,,,22,V3,,24,V3+,,,,,18,V3,,18,V2,,27,V3+,,24,V3+,,17,V1,,16,V2,
3/15/22,black,low,1,4,21,V2,,17,V3+,,13,V2,,5,V2,,11,V2,,18,V3,,8,V3,,12,V3,,39,V3+,,15,V3+,,23,V3,,16,V3+,,22,V3,,11,V2,,3,V3,,5,V2,,7,V2,,7,V2,,28,V3+,,10,V2,
3/15/22,black,low,1,5,14,V3,,12,V2,,,,,9,V3,,15,V2,,5,V2,,15,V3,,9,V3+,,24,V3+,,,,,,,,18,V2,,22,V3+,,10,V2,,,,,47,V3+,,29,V3+,,12,V3+,,7,V2,,35,V3,
3/15/22,black,high,1,1,6,V3+,,32,V3,,30,V3+,,29,V3,,27,V3,,33,V2,,24,V3,,32,V3+,,19,V3,,32,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/22,black,high,1,2,33,V2,,28,V3+,,23,V2,,30,V3,,22,V3,,13,V2,,25,V3,,28,V3,,36,V3+,,35,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/22,black,high,1,3,31,V3,,49,V3+,,35,V3,,36,V3,,17,V2,,14,V2,,35,V2,,28,V3,,50,V3+,,28,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/22,black,high,1,4,36,V3,,27,V2,,41,V2,,,,,52,V3,,36,V3+,,17,V3,,31,V3+,,30,V3,,27,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/22,black,high,1,5,26,V3,,12,V2,,37,V3,,28,V2,,28,V2,,24,V3,,33,V3,,35,V3+,,43,V3+,,34,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/22,black,high,1,6,6,V2,,32,V2,,27,V3,,45,V3+,,30,V3+,,27,V3,,29,V1,,20,V2,,24,V1,,19,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
